"Original Text","ChatGPT","DeepL","Google","Comments","Initial choice","First editing pass","Proofreading"
"EV001","","","","","","",""
"検索：","Search:","Search:","search:","","Search:","Search:",""
"私は、検索■て、いる","I am searching.","I am, searching ■, being","i am searching","lots of gibberish in this file, black squares mess with MTL. It's probably supposed to be machine-style speak like paradox apoptosis. could be left as is since it is supposed to sound like gibberish
","Searching being ■","Searching being ■",""
"最初に、「私」が■た","First, ""I""■ted.","First, ""I"" was ■.","First, ""I""","","First, ""I""■ted.","First, ""I""■ted.",""
"「私」は――","""I"" am――","","","","""I"" am――","""I"" am――",""
"検索：私","Search: Me","Search: I","","","Search: Me","Search: Me",""
"……該当項目なし","......No corresponding item.","...... N/A","……No applicable item","","......No corresponding item.","......No corresponding item.",""
"検索：自分","Search: Myself","Searches: self","","","Search: Myself","Search: Myself",""
"「私は」――

……光が見■た。","""I""――

...saw the light.","I am.""--

...... light was seen.","""I""--

……I saw the light.","","""I""――

...saw the light.","""I""――

...saw the light.",""
"あ■道を抜■■ば、「私」は――","Line 1: When I cut through the ■■■■, ""I""――","If I go down the wrong road, I'll be...","Ah, if I get out of the way, ""I"" will be――","","If I go down the wrong path, I'll be...","If I go down the wrong path, I'll be...",""
"……………………","……………………","","","","……………………","",""
"むかしむかしの日本。","Long, long ago in Japan.","Once upon a time in Japan.","Japan once upon a time.","","Long, long ago in Japan.","Once upon a time in Japan.",""
"ここは「まほろば山」。","Here is ""Mahoroba Mountain"".","This is ""Mahoroba Mountain"".","This is Mt. Mahoroba.","","The ""Mahoroba Mountain"".","The ""Mahoroba Mountain"".",""
"妖怪と人が仲良く暮らす・・・

とても珍しい場所・・・。","Yokai and humans living together peacefully... 

A very rare place...","A very rare place where monsters and people live in harmony....

A very rare place...","Youkai and humans live in harmony...

A very rare place...","","Yokai and humans living together
peacefully... 

A very rare place...","Yokai and humans living together
peacefully... 

A very rare place...",""
"......","......","","","","......","",""
